Colorado_Springs,Maryland_Baltimore,NewMexico_Roswell,LosAngeles
28.2,27.8,37.9,56.9
37.1,35.4,47,60.7
32.6,40.4,47.5,59.3
42.6,53.3,58.8,59.3
58.2,66.6,68.5,63.3
64.5,72.9,75.2,65.7
71.1,77.2,81.1,68.7
71.4,77.3,79.2,69.4
57.7,73.7,71.9,69.2
44.1,61.4,56.6,66
38.2,48.6,49.3,61.2
32.9,38.2,44.2,56
29.8,30,42.2,55.5
29.7,37.4,43.8,56.7
37.7,41.8,53.7,56.8
45.2,52.6,59.3,58.8
53.2,61.2,69.4,61.4
67.8,74,79,64.7
68.8,76.4,80.6,69.5
69.1,74.2,75.8,74.2
56.6,70.9,70.2,70.9
49.3,62.9,60.3,65
37.9,46.3,49.2,59.2
30.4,43.8,41.6,52.8
29.9,37.6,41.4,53.9
36.1,34.3,46.6,56.8
43.3,43.6,57.1,59.8
49.1,51.6,64.2,61.5
55.9,62.7,69.1,64.1
67.7,68.1,78.4,67
69.1,76.9,79.8,70.3
67.7,75.4,76.9,72.8
60.7,69.7,71.7,69.8
49.4,53.5,60.6,66.4
29.8,43.2,43.7,60.2
23.5,40.3,39.3,56.8
25.4,34.6,38.9,54.6
32.2,34.3,43.4,58.5
36.5,48.2,52.2,55.5
40.9,53,54.4,60
53.3,59.6,66,62.4
65.6,73.5,75.1,66.7
68.4,75.9,78.7,68
70.5,76.9,77.4,69.1
58.7,69.7,69.5,67.5
52.6,58.2,61.3,65.7
39.6,47.3,50.9,59.5
31.2,37.3,41.7,58.3
27,37.9,40.3,54.3
33.8,33.8,43.2,57.5
42.1,45.2,57.5,56.6
46,55.3,61.1,59.6
59.7,61.8,73.4,62.9
66.2,68.5,79.1,66.6
72.5,76.4,79.9,70.5
67.8,74.9,74.3,69.6
58,67.5,64.3,68.9
52.6,55.3,59.1,65.9
38.4,48.2,47.3,62.7
28,40.3,39.4,55.8
29.1,38.4,41.1,56.8
29.8,39,42.1,55.6
35.6,42.1,49.7,55.7
44.4,50.3,56.4,56.7
53.4,66.3,65.7,61.1
63.8,73,76.6,64.5
71,76,75.5,68.9
70.2,77.8,76.7,68.2
59.4,66,67,70.2
52.3,60.6,61,65.4
36.3,51.9,47.9,60.6
35.2,37.2,41.8,57.6
30.1,30.8,38.8,60
37.8,44,51.7,57.9
36.1,48.1,52.6,58.4
47.7,56.9,62.1,58
54.7,62.1,67.1,63.2
64.3,74.8,77.8,68
72.1,75,77.1,70
68,73.9,78.7,69.3
59.3,67.5,69.7,70.4
45.7,52.9,54.7,69.2
36.2,40.9,41.2,65.9
32.9,32.6,37.8,60.1
26.8,22.9,37,57.5
34.9,36.5,46.7,60.6
37.1,49.9,50.5,56
48.3,57.9,60.7,61.1
58.6,66.7,71.8,61.1
68,71.4,80,65.1
71.3,78.9,82.6,68.6
68.5,77.7,81.4,70.9
64,72.1,76.9,68.6
51.5,56,62.5,66.2
38.6,49.2,51.6,64.7
34.5,35.6,46.3,60.9
25,29.2,35.5,58.6
27.7,27.3,41.5,58.2
40.9,41.7,53.2,62.1
48.7,54.2,64.7,59.1
52.4,62.3,70.3,65.5
66.2,73.1,78.7,67.6
72.8,75.8,82.3,67.7
67.5,78.1,77.2,69.8
62.8,69.7,69.2,73.6
51.8,56.1,60.4,68.3
36.5,48.6,49,59
21.9,40.1,37.2,54.2
16.9,33.1,34.8,54.5
32.4,25.5,43.6,54.2
38.1,48.4,50.5,57.5
48.3,53.1,60.6,60.2
54,64.6,67.5,63.6
64.3,70.7,75.1,69.2
70.6,75.9,81,68.4
67.5,75.6,76.5,71
64.4,68.8,72.2,73.8
51.7,55.6,63.8,66.1
31.1,50.6,44.6,61
33.5,40.3,40.6,60.6
26.7,33.8,39.8,59.6
34.3,31.4,44.6,61.2
35.7,41.4,51.1,58.3
44.3,55.7,57.6,60.6
53.4,65.5,68,60.1
69.2,71.3,83.5,65.7
75.3,78.2,85.4,68.7
70.4,78.7,78.7,70.9
62.3,72.2,71.6,67
49.8,55.3,57.9,66.2
39.5,44.2,43.8,62.4
